awa 0 28 41 50 60 67 75 100 115 130 150 170 180
clAsymPole 0 0.01830 0.73500 0.94666 1.08342 1.10494 1.09059 0.95427 0.81077 0.60987 0.32287 0.10762 0.00000
cdAsymPole 0.20000 0.16215 0.25184 0.32502 0.40897 0.45920 0.50225 0.59839 0.65292 0.67086 0.67086 0.67086 0.67086
