awa 0 28 41 50 60 67 75 100 115 130 150 170 180
clSym 0.00000 -0.02484 0.69437 0.90677 1.04400 1.08000 1.08000 0.95760 0.81360 0.61200 0.32400 0.10800 0.00000
cdSym 0.20000 0.19152 0.28152 0.35496 0.43920 0.48960 0.53280 0.61920 0.65880 0.67320 0.67320 0.67320 0.67320
