awa    clSym   cdSym
0      0.00000 0.20000
28    -0.02484 0.19152
41     0.69437 0.28152
50     0.90677 0.35496
60     1.04400 0.43920
67     1.08000 0.48960
75     1.08000 0.53280
100    0.95760 0.61920
115    0.81360 0.65880
130    0.61200 0.67320
150    0.32400 0.67320
170    0.10800 0.67320
180    0.00000 0.67320
