nan,-1.0,-0.95,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.2,0.0,0.2,0.4,0.5,0.6,0.7,0.8,0.85,0.9,0.95,1.0
0.15,0.3,0.2824,0.265,0.23,0.195,0.161,0.128,0.0955,0.0365,0.0,0.0096,0.0384,0.0615,0.092,0.132,0.187,0.223,0.2642,0.315,0.386
0.2,0.2826,0.263,0.24,0.1967,0.157,0.1207,0.088,0.0592,0.0172,0.0,0.0049,0.0304,0.052,0.0804,0.118,0.1685,0.2,0.2353,0.2821,0.356
0.25,0.2598,0.2372,0.2115,0.1651,0.1246,0.0899,0.0579,0.035,0.0084,0.0,0.0031,0.0224,0.0417,0.0669,0.1008,0.1465,0.1747,0.2068,0.2513,0.3256
0.3,0.2306,0.204,0.179,0.1333,0.0943,0.0623,0.0376,0.0202,0.0033,0.0,0.0027,0.0148,0.03,0.0503,0.079,0.1191,0.1445,0.176,0.2186,0.2923
0.4,0.1467,0.12,0.0972,0.063,0.0395,0.0214,0.0116,0.0044,0.0,0.0,0.0,0.0033,0.009,0.0189,0.0357,0.0637,0.0833,0.1088,0.1467,0.2181
0.5,0.0522,0.042,0.033,0.019,0.01,0.004,0.0012,0.0,0.0,0.0,0.0,0.0,0.0008,0.0034,0.0085,0.0211,0.0326,0.05,0.0778,0.1278
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0022,0.0067,0.0169,0.0382
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
